subject,WTP
3001,50.55746
3004,-20.14853
3008,-25.87852
3009,2.912291
3010,-3.006872
3011,33.14237
3014,-9.290022
3015,.9257946
4003,83.89376
4006,50.55462
4010,-.3981271
4011,3.346536
4013,-28.48402
4016,18.04898
4022,37.08677
4024,-5.801453
11006,2.912291
11008,2.912291
11009,2.912291
11010,2.912291
11012,2.912291
11016,2.912291
11022,2.912291
11032,2.912291
11034,2.912291
12001,-3.163131
12002,-22.44376
12014,-34.61839
12029,-25.84506
12036,115.3833
12037,46.80672
12041,1.441601
12054,-.2955511
13001,-58.77935
13003,-7.814276
13004,-33.41058
13007,66.5573
13010,32.97945
13012,20.49312
13013,49.14379
13019,125.1672
15005,13.29181
15012,-15.85981
15016,95.76051
15023,104.7143
15024,-103.6923
15026,73.80031
15027,-163.603
15030,2.912291
23003,-36.34949
23007,-17.7125
23016,-2.368661
23027,72.20933
23031,45.23839
23035,2.912291
23036,-17.47521
23039,103.2582
27001,8.460928
27003,56.56416
27006,-23.9434
27009,-6.794036
27011,24.6022
27029,-28.86896
27030,-39.76554
27039,-1.220327
31001,2.912291
31002,2.912291
31003,2.912291
31004,-10.47776
31005,2.912291
31009,98.70561
31012,109.8158
31014,2.912291
36002,-8.963459
36011,44.41562
36013,-21.83708
36018,13.94805
36021,38.71553
36040,3.207775
36046,84.66256
36053,-35.65127
38001,2.912291
38002,2.912291
38003,2.912291
38005,2.912291
38006,2.912291
38007,2.912291
38010,2.912291
38013,2.912291
39004,-16.71887
39006,90.42106
39007,29.19467
39011,2.912291
39012,4.056829
39013,-54.01339
39018,-35.71153
39023,47.6977
40001,2.912291
40003,2.912291
40004,2.912291
40005,2.912291
40006,2.912291
40008,2.912291
40009,2.912291
40011,2.912291
42001,91.702
42007,-5.055655
42008,73.14279
42010,-30.17868
42011,36.95521
42012,2.912291
42013,14.21958
42018,51.35625
42025,-9.451376
44003,-3.348572
44006,33.59926
44007,8.324325
44008,14.34696
44013,13.9133
44019,21.70301
44027,-26.88877
44028,-14.07842
45001,2.912291
45002,2.912291
45009,2.912291
45010,2.912291
45011,2.912291
45012,37.12686
45016,-2.152745
45019,40.76627
51002,2.912291
51006,2.912291
51009,2.912291
51011,2.912291
51022,2.912291
51027,2.912291
51030,2.912291
57001,2.912291
57003,2.912291
57004,2.912291
57005,2.912291
57006,2.912291
57007,2.912291
57008,2.912291
57009,2.912291
57010,2.912291
66001,2.912291
66002,2.912291
66003,2.912291
66004,2.912291
66006,2.912291
66009,2.912291
66010,2.912291
74003,52.69223
74007,-3.31579
74008,10.94873
74013,66.11478
74015,49.68372
74016,3.371497
74019,8.320053
74026,13.24677
95002,15.01709
95003,.6531446
95008,-2.650308
95020,45.92731
95025,6.764331
95028,16.55066
95030,-3.697695
95032,375.4108
98006,-32.83582
98008,51.69611
98009,30.51245
98010,10.74815
98011,87.58656
98017,100.1635
98018,-10.27715
98026,89.60004
99002,93.16097
99003,-10.22213
99004,2.791207
99007,-139.9961
99009,-8.131453
99011,50.63257
99012,153.3307
99013,1.030167
100001,44.34892
100003,2.912291
100006,103.0322
100007,-15.68512
100011,147.3803
100016,-9.512467
100017,-69.35945
102002,2.912291
102003,2.912291
102005,2.912291
102007,2.912291
102013,2.912291
102016,2.912291
102017,2.912291
102018,2.912291
103002,22.5645
103003,47.82764
103007,19.14135
103010,40.69432
103012,-17.26752
103013,-10.34912
103016,27.11984
103022,39.79776
109001,2.912291
109005,2.912291
109006,2.912291
109007,2.912291
109011,2.912291
109014,2.912291
109018,2.912291
109025,2.912291
111001,2.912291
111002,2.912291
111004,2.912291
111006,2.912291
111009,2.912291
111011,2.912291
111012,2.912291
111016,2.912291
112006,-38.20584
112009,2.912291
112012,-79.54504
112016,-31.15816
112030,2.912291
112031,2.912291
112037,-23.14607
112040,-70.19407
114002,2.912291
114003,2.912291
114006,2.912291
114007,2.912291
114010,2.912291
114012,2.912291
114015,2.912291
114016,2.912291
117003,2.912291
117009,2.912291
117012,2.912291
117015,2.912291
