subject,WTP
3001,-5.9734507
3004,42.380562
3008,-5.9734507
3009,134.08118
3010,101.67294
3011,-5.9734507
3014,42.380562
3015,42.380562
4003,-5.9734507
4006,-5.9734507
4010,-5.9734507
4011,-5.9734507
4013,-5.9734507
4016,101.67294
4022,-5.9734507
4024,-5.9734507
11006,134.08118
11008,134.08118
11009,134.08118
11010,134.08118
11012,134.08118
11016,134.08118
11022,134.08118
11032,134.08118
11034,134.08118
12001,-5.9734507
12002,-5.9734507
12014,-5.9734507
12029,-5.9734507
12036,42.380562
12037,-5.9734507
12041,101.67294
12054,42.380562
13001,-5.9734507
13003,42.380562
13004,42.380562
13007,101.67294
13010,-5.9734507
13012,42.380562
13013,-5.9734507
13019,42.380562
15005,-5.9734507
15012,42.380562
15016,-5.9734507
15023,42.380562
15024,-5.9734507
15026,42.380562
15027,-5.9734507
15030,134.08118
23003,134.08118
23007,101.67294
23016,-5.9734507
23027,42.380562
23031,134.08118
23035,134.08118
23036,42.380562
23039,-5.9734507
27001,-5.9734507
27003,42.380562
27006,-5.9734507
27009,-5.9734507
27011,-5.9734507
27029,42.380562
27030,-5.9734507
27039,101.67294
31001,134.08118
31002,134.08118
31003,134.08118
31004,42.380562
31005,134.08118
31009,-5.9734507
31012,42.380562
31014,134.08118
36002,101.67294
36011,-5.9734507
36013,42.380562
36018,42.380562
36021,-5.9734507
36040,-5.9734507
36046,42.380562
36053,42.380562
38001,134.08118
38002,134.08118
38003,134.08118
38005,134.08118
38006,134.08118
38007,134.08118
38010,134.08118
38013,134.08118
39004,42.380562
39006,42.380562
39007,42.380562
39011,134.08118
39012,42.380562
39013,42.380562
39018,42.380562
39023,42.380562
40001,134.08118
40003,134.08118
40004,134.08118
40005,134.08118
40006,134.08118
40008,134.08118
40009,134.08118
40011,134.08118
42001,42.380562
42007,-5.9734507
42008,42.380562
42010,-5.9734507
42011,42.380562
42012,134.08118
42013,-5.9734507
42018,42.380562
42025,-5.9734507
44003,134.08118
44006,42.380562
44007,-5.9734507
44008,-5.9734507
44013,-5.9734507
44019,42.380562
44027,42.380562
44028,-5.9734507
45001,134.08118
45002,134.08118
45009,134.08118
45010,134.08118
45011,134.08118
45012,101.67294
45016,-5.9734507
45019,42.380562
51002,134.08118
51006,134.08118
51009,134.08118
51011,134.08118
51022,134.08118
51027,134.08118
